highschoolGPA,pre_intervention_GPA,gradegoal,gradegoal_E2,motivation,motivation_E2,importance,importance_E2,confidence,confidence_E2,grade,exam_1,exam_2,group
3.9,3.511,2,3,7,6.25,5.5,5.5,3.25,3.25,91.1,92,86,0
4.2,3.104,2,4,3.25,7,1.75,7,1.75,2.5,68.5,48,66,0
3.7,2.576,2,2,6.25,7,6.25,6.25,6.25,5.5,93.5,92,95,1
3.7,2.69,1,3,5.5,4,7,4,4.75,4,74.7,77,64,0
3.8,3.107,4,7,4.75,5.5,5.5,6.25,3.25,2.5,76.5,69,75,1
4.1,3.816,2,2,6.25,5.5,6.25,5.5,4,5.5,98.8,97,99,1
2.7,3.611,1,1,6.25,6.25,6.25,6.25,6.25,6.25,96.6,99,93,0
NA,NA,4,NA,4,NA,4.75,NA,4,NA,29.3,50,29,0
NA,NA,2,NA,6.25,NA,7,NA,4.75,NA,56,56,54,0
3.3,NA,2,4,6.25,6.25,7,6.25,5.5,5.5,89.4,79,94,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,66,59,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,74,79,NA
3.05,NA,2,2,5.5,6.25,6.25,7,6.25,5.5,75.3,80,86,0
NA,NA,NA,2,NA,6.25,NA,5.5,NA,4.75,71.5,81,78,1
