subID,groupnr,condition,cooperation,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,groupgender,grouphomog,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
KAB,12,1,5,6,6,7,5,5,1,20,0,0,1,4,2,1,4,2,4,1,2,2,2,4,5,1,1,4,3,3,3,4,1,2,3,1,2,4,4,1,1,4,3,4,2,1,2,2,4,8,6,NA,NA
KAC,12,1,3.8333333333333335,2,7,4,3,4,3,20,0,0,1,5,1,4,4,3,1,2,1,4,3,2,2,1,2,2,3,2,1,4,1,1,1,1,2,1,4,3,1,3,1,1,1,2,1,1,2,4,5,NA,NA
KBA,13,1,2.8333333333333335,1,7,1,3,1,4,24,0,1,0,4,1,3,1,4,1,1,1,3,3,1,2,1,1,2,3,4,1,5,1,1,1,2,1,1,3,1,1,3,1,1,1,3,1,1,1,6,5,NA,NA
KBB,13,1,2.6666666666666665,5,4,3,2,1,1,20,1,1,0,4,1,4,3,4,1,1,1,3,4,2,4,1,3,1,4,4,1,4,1,1,1,4,2,2,4,4,4,3,3,1,4,4,1,2,1,8,6,NA,NA
KBC,13,1,2.6666666666666665,3,4,2,1,2,4,20,0,1,0,3,1,1,1,2,1,1,1,3,1,1,4,1,2,1,2,4,2,4,1,1,1,1,1,1,4,2,1,4,1,1,1,1,1,1,2,8,6,NA,NA
KCA,14,1,1,1,1,1,1,1,1,24,1,2,0,4,2,5,4,4,2,1,1,4,5,2,1,2,2,2,2,4,1,3,1,2,1,3,1,1,4,2,1,4,2,2,1,4,2,1,3,5,4,NA,NA
KCB,14,1,3.3333333333333335,3,7,2,1,3,4,19,0,2,0,3,2,4,4,1,1,1,1,3,2,1,5,1,1,5,3,5,4,3,3,3,3,1,2,1,4,3,1,5,3,1,1,3,1,1,3,7,10,NA,NA
KCC,14,1,1.5,3,2,1,1,1,1,19,1,2,0,4,2,4,4,2,2,2,2,2,2,4,5,4,2,4,4,4,4,2,2,1,1,1,4,3,4,2,2,3,4,3,1,4,2,2,4,8,5,NA,NA
KDA,15,1,3.6666666666666665,4,3,4,5,3,3,24,0,1,0,4,1,4,4,3,1,1,1,4,3,2,3,1,2,4,3,4,1,4,1,3,3,2,4,1,5,3,2,4,1,1,3,4,1,2,4,7,7,NA,NA
KDB,15,1,5.333333333333333,7,6,6,3,4,6,21,0,1,0,4,3,4,4,2,4,2,2,3,2,2,4,4,4,4,3,4,4,3,2,2,4,1,4,1,5,3,2,5,2,1,3,4,1,NA,4,7,7,NA,NA
KDC,15,1,6,7,7,7,7,4,4,20,1,1,0,3,1,3,2,2,1,2,1,3,2,1,1,2,3,3,3,3,2,3,2,3,2,2,3,2,4,3,2,3,2,2,2,2,2,2,3,5,4,NA,NA
KEA,16,1,6,7,7,7,7,7,1,20,0,1,0,3,3,3,2,3,4,1,1,2,2,3,1,1,1,2,2,2,2,4,1,1,1,5,2,2,4,1,2,4,3,2,2,3,2,1,4,7,6,NA,NA
KEB,16,1,3.6666666666666665,1,4,7,2,5,3,20,1,1,0,4,1,3,2,3,1,1,2,3,3,1,5,1,4,2,4,4,1,5,1,2,1,2,3,1,4,3,2,3,1,1,2,4,1,1,3,5,6,NA,NA
KEC,16,1,3,3,3,3,3,3,3,22,0,1,0,4,1,4,3,NA,1,2,1,3,1,1,3,1,2,2,3,4,4,4,3,2,2,1,4,3,5,2,1,4,4,1,1,3,1,1,3,4,6,NA,NA
KFA,17,1,1,1,1,1,1,1,1,26,0,1,0,2,1,4,2,1,2,1,1,4,3,1,1,4,3,2,4,4,2,4,1,2,2,1,1,1,4,3,2,4,3,2,2,4,2,1,4,6,5,NA,NA
KFB,17,1,2.5,4,2,4,1,3,1,20,0,1,0,3,1,2,4,2,1,2,1,2,2,1,4,1,1,3,2,4,1,2,2,2,1,1,1,1,3,1,1,2,1,1,1,2,1,1,2,2,3,NA,NA
KFC,17,1,2.1666666666666665,4,2,4,1,1,1,23,1,1,0,4,1,4,2,4,1,1,1,4,4,1,3,1,3,3,4,3,3,3,2,2,2,2,2,1,4,3,3,4,1,1,3,4,2,1,3,8,7,NA,NA
KGA,18,1,5.166666666666667,4,1,5,7,7,7,20,0,2,0,3,1,3,4,4,1,1,1,4,4,1,5,2,4,2,4,4,1,4,2,3,3,1,3,4,4,4,1,4,2,1,5,3,3,3,4,7,7,NA,NA
